# warp-vs-block sweep  Sun 21 Jun 2026 09:47:11 PM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 420 MHz, 31

################ NPROB=1  reps=3000 ################
# warp-per-problem vs one-block-per-problem | NPROB=1 reps=3000 | ns/problem (lower=better)
gemm  N=12  | BLOCK  tb32=3.32  tb64=2.39  tb128=2.03  tb256=2.05  | WARP  w1=3.32  w2=3.32  w4=3.33  w8=3.34  w16=3.52  w32=4.19  || block tb128=2.03  warp w1=3.32  -> BLOCK (1.64x)
gemm  N=16  | BLOCK  tb32=4.87  tb64=3.12  tb128=2.43  tb256=2.46  | WARP  w1=4.83  w2=4.83  w4=4.87  w8=4.89  w16=5.10  w32=7.13  || block tb128=2.43  warp w2=4.83  -> BLOCK (1.99x)
gemm  N=24  | BLOCK  tb32=12.64  tb64=7.18  tb128=6.52  tb256=6.36  | WARP  w1=12.85  w2=12.84  w4=12.99  w8=12.93  w16=13.50  w32=21.45  || block tb256=6.36  warp w2=12.84  -> BLOCK (2.02x)
gemm  N=32  | BLOCK  tb32=26.56  tb64=14.41  tb128=13.50  tb256=11.54  | WARP  w1=26.49  w2=27.98  w4=26.61  w8=26.66  w16=28.20  w32=52.73  || block tb256=11.54  warp w1=26.49  -> BLOCK (2.30x)

chol  N=4   | BLOCK  tb32=1.73  tb64=1.85  tb128=1.84  tb256=2.37  | WARP  w1=1.77  w2=1.71  w4=1.70  w8=1.70  w16=1.80  w32=2.03  || block tb32=1.73  warp w8=1.70  -> WARP (1.02x)
chol  N=6   | BLOCK  tb32=2.86  tb64=3.08  tb128=3.05  tb256=4.81  | WARP  w1=2.62  w2=2.72  w4=2.74  w8=2.73  w16=2.74  w32=3.14  || block tb32=2.86  warp w1=2.62  -> WARP (1.09x)
chol  N=8   | BLOCK  tb32=3.82  tb64=4.11  tb128=4.07  tb256=6.85  | WARP  w1=4.19  w2=4.15  w4=4.09  w8=4.11  w16=4.34  w32=5.29  || block tb32=3.82  warp w4=4.09  -> BLOCK (1.07x)
chol  N=12  | BLOCK  tb32=6.33  tb64=6.78  tb128=6.63  tb256=12.07  | WARP  w1=6.64  w2=6.64  w4=6.67  w8=6.69  w16=7.28  w32=8.91  || block tb32=6.33  warp w2=6.64  -> BLOCK (1.05x)
chol  N=16  | BLOCK  tb32=9.36  tb64=10.10  tb128=9.75  tb256=17.69  | WARP  w1=9.93  w2=9.92  w4=9.97  w8=10.01  w16=10.95  w32=13.58  || block tb32=9.36  warp w2=9.92  -> BLOCK (1.06x)
