# mega sweep  Tue 23 Jun 2026 09:19:43 AM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 180 MHz, 28

################ NPROB=1  reps=3000  dtype=f32 (3-way) ################
# mega sweep | NPROB=1 reps=3000 dtype=f32 | ns/problem (lower=better) | optin_smem=99KB
# contenders: BLOCK(SIMT, TB swept) | WARP(WPB swept) | NV(cuBLASDx/cuSOLVERDx, forced; f32<=128, f64<=64)
gemv  N=16  | BLOCK  tb32=1500.70  tb64=1501.71  tb128=1498.93  tb256=1498.64  | WARP  w1=1502.11  || block tb256=1498.64  warp w1=1502.11  nv=2103.39  -> BLOCK (1.40x)
gemv  N=24  | BLOCK  tb32=1948.61  tb64=1949.30  tb128=1946.45  tb256=1946.13  | WARP  w1=1935.40  || block tb256=1946.13  warp w1=1935.40  nv=3267.87  -> WARP (1.69x)
gemv  N=32  | BLOCK  tb32=2237.17  tb64=2237.65  tb128=2234.80  tb256=2234.03  | WARP  w1=2202.93  || block tb256=2234.03  warp w1=2202.93  nv=4669.07  -> WARP (2.12x)
gemv  N=48  | BLOCK  tb32=5494.01  tb64=3106.01  tb128=3102.81  tb256=3100.79  | WARP  w1=5407.79  || block tb256=3100.79  warp w1=5407.79  nv=9536.42  -> BLOCK (3.08x)
gemv  N=64  | BLOCK  tb32=7545.25  tb64=4135.64  tb128=4132.32  tb256=4130.34  | WARP  w1=8256.24  || block tb256=4130.34  warp w1=8256.24  nv=16042.37  -> BLOCK (3.88x)
gemv  N=96  | BLOCK  tb32=15796.89  tb64=10780.10  tb128=5795.58  tb256=5792.85  | WARP  w1=17257.44  || block tb256=5792.85  warp w1=17257.44  -> BLOCK (2.98x)
gemv  N=128 | BLOCK  tb32=27326.28  tb64=14083.40  tb128=7460.25  tb256=7457.35  | WARP  w1=29985.16  || block tb256=7457.35  warp w1=29985.16  -> BLOCK (4.02x)

gemm  N=4   | BLOCK  tb32=1364.18  tb64=1364.32  tb128=1364.98  tb256=1362.55  | WARP  w1=1345.39  || block tb256=1362.55  warp w1=1345.39  nv=1453.47  -> WARP (1.08x)
gemm  N=6   | BLOCK  tb32=1706.71  tb64=1324.75  tb128=1318.01  tb256=1319.27  | WARP  w1=1444.46  || block tb128=1318.01  warp w1=1444.46  nv=1530.23  -> BLOCK (1.16x)
gemm  N=8   | BLOCK  tb32=1664.29  tb64=1325.49  tb128=1326.26  tb256=1327.98  | WARP  w1=1530.93  || block tb64=1325.49  warp w1=1530.93  nv=1350.25  -> BLOCK (1.02x)
gemm  N=12  | BLOCK  tb32=3834.53  tb64=2582.08  tb128=2014.65  tb256=1438.42  | WARP  w1=3852.24  || block tb256=1438.42  warp w1=3852.24  nv=1961.56  -> BLOCK (1.36x)
gemm  N=16  | BLOCK  tb32=6895.51  tb64=3854.96  tb128=2354.10  tb256=1673.16  | WARP  w1=6739.11  || block tb256=1673.16  warp w1=6739.11  nv=1837.35  -> BLOCK (1.10x)
gemm  N=24  | BLOCK  tb32=20820.74  tb64=10851.19  tb128=6469.47  tb256=4439.33  | WARP  w1=20691.03  || block tb256=4439.33  warp w1=20691.03  nv=4734.38  -> BLOCK (1.07x)
gemm  N=32  | BLOCK  tb32=46007.12  tb64=23530.33  tb128=12298.72  tb256=7383.08  | WARP  w1=45819.86  || block tb256=7383.08  warp w1=45819.86  nv=7069.83  -> NVIDIA (1.04x)
gemm  N=48  | BLOCK  tb32=139358.77  tb64=70201.32  tb128=37277.56  tb256=22199.29  | WARP  w1=137534.68  || block tb256=22199.29  warp w1=137534.68  nv=23167.41  -> BLOCK (1.04x)
gemm  N=64  | BLOCK  tb32=312200.03  tb64=187874.00  tb128=94682.24  tb256=53170.17  | WARP  w1=312360.30  || block tb256=53170.17  warp w1=312360.30  nv=51579.41  -> NVIDIA (1.03x)
gemm  N=96  | BLOCK  tb32=985685.01  tb64=497068.30  tb128=253511.43  tb256=167704.64  | WARP  w1=983805.50  || block tb256=167704.64  warp w1=983805.50  -> BLOCK (5.87x)
gemm  N=128 | BLOCK  tb32=3404273.98  tb64=1705061.30  tb128=862139.53  tb256=438099.99  | WARP  w1=3403934.23  || block tb256=438099.99  warp w1=3403934.23  -> BLOCK (7.77x)

chol  N=4   | BLOCK  tb32=3026.81  tb64=3105.08  tb128=3104.52  tb256=3111.46  | WARP  w1=3515.71  || block tb32=3026.81  warp w1=3515.71  nv=2319.30  -> NVIDIA (1.31x)
chol  N=6   | BLOCK  tb32=5189.87  tb64=5330.98  tb128=5332.87  tb256=5349.80  | WARP  w1=6084.28  || block tb32=5189.87  warp w1=6084.28  nv=3316.65  -> NVIDIA (1.56x)
chol  N=8   | BLOCK  tb32=7351.91  tb64=7573.75  tb128=7574.98  tb256=7592.62  | WARP  w1=9332.96  || block tb32=7351.91  warp w1=9332.96  nv=4635.25  -> NVIDIA (1.59x)
chol  N=12  | BLOCK  tb32=12514.97  tb64=12872.91  tb128=12870.66  tb256=12897.93  | WARP  w1=14982.36  || block tb32=12514.97  warp w1=14982.36  nv=4814.68  -> NVIDIA (2.60x)
chol  N=16  | BLOCK  tb32=18149.38  tb64=18515.83  tb128=18512.76  tb256=18574.53  | WARP  w1=22103.87  || block tb32=18149.38  warp w1=22103.87  nv=5806.86  -> NVIDIA (3.13x)
chol  N=24  | BLOCK  tb32=32769.61  tb64=32990.02  tb128=33137.65  tb256=33098.83  | WARP  w1=39322.86  || block tb32=32769.61  warp w1=39322.86  nv=11713.71  -> NVIDIA (2.80x)
chol  N=32  | BLOCK  tb32=50788.30  tb64=51119.28  tb128=51114.90  tb256=51308.50  | WARP  w1=59353.89  || block tb32=50788.30  warp w1=59353.89  nv=11435.27  -> NVIDIA (4.44x)
chol  N=48  | BLOCK  tb32=104102.65  tb64=96877.66  tb128=96881.80  tb256=96834.44  | WARP  w1=119707.65  || block tb256=96834.44  warp w1=119707.65  nv=21034.53  -> NVIDIA (4.60x)
chol  N=64  | BLOCK  tb32=180206.96  tb64=157624.11  tb128=157602.88  tb256=157824.36  | WARP  w1=202097.73  || block tb128=157602.88  warp w1=202097.73  nv=32976.16  -> NVIDIA (4.78x)
chol  N=96  | BLOCK  tb32=413226.78  tb64=340214.58  tb128=316774.59  tb256=316858.95  | WARP  w1=456072.84  || block tb128=316774.59  warp w1=456072.84  -> BLOCK (1.44x)
chol  N=128 | BLOCK  tb32=787042.84  tb64=611585.48  tb128=536387.30  tb256=537084.02  | WARP  w1=854453.91  || block tb128=536387.30  warp w1=854453.91  -> BLOCK (1.59x)

